time,regione,fractile,threshold,bracket_average
1986,Italia,.91,13414.81964339108,13646.50291155604
1986,Italia,.92,13879.76145700049,14128.09679607553
1986,Italia,.93,14394.58501049842,14743.24712646241
1986,Italia,.9400000000000001,15169.87967010798,15833.17422141505
1986,Italia,.9500000000000001,16576.16462139532,17294.6935129953
1986,Italia,.96,17999.49196041777,19331.61763177604
1986,Italia,.97,21167.50514731038,22752.50741642208
1986,Italia,.98,24916.38445400984,29266.61718801499
1986,Italia,.99,34614.04340674738,56775.6386119974
1987,Italia,0,-18324.86463379504,-5361.586845974878
1987,Italia,.01,404.4729338257221,549.5321799679479
1987,Italia,.02,691.68587426674,696.2714464236852
1987,Italia,.03,700.8570185806432,705.4425907367321
1987,Italia,.04,710.0281628945469,714.6137350527068
1987,Italia,.05,719.199307208448,723.7848793650223
1987,Italia,.06,728.3704515223512,732.9560236784342
1987,Italia,.07,737.5415958362554,742.1271679942272
1987,Italia,.08,746.7127401501574,872.6649625838464
1987,Italia,.09,1546.213885749,1879.286835404854
1987,Italia,.1,1975.039189501231,2055.800210269836
1987,Italia,.11,2134.511441980364,2209.675608721284
1987,Italia,.12,2284.839775460799,2356.312849629227
1987,Italia,.13,2417.917859982178,2472.927351415843
1987,Italia,.14,2527.9368428497,2580.752486045499
1987,Italia,.15,2624.590793319653,2659.245174508671
1987,Italia,.16,2693.899555698074,2728.553936887914
1987,Italia,.17,2763.208318076488,2797.862699265519
1987,Italia,.18,2832.517080454905,2873.335458434192
1987,Italia,.19,2914.211236923874,2955.08714904516
1987,Italia,.2,2995.963061167031,3036.838973288428
1987,Italia,.21,3077.71488541019,3123.230589751642
1987,Italia,.22,3160.982348661894,3194.945415259949
1987,Italia,.23,3234.00344187557,3291.899905272594
1987,Italia,.24,3361.557956433448,3452.932560739712
1987,Italia,.25,3551.906602295728,3651.888255144418
1987,Italia,.26,3742.640237782023,3805.710475553587
1987,Italia,.27,3858.410404116008,3900.903491245913
1987,Italia,.28,3942.978669547436,3991.655146853123
1987,Italia,.29,4046.639180723495,4117.898906147111
1987,Italia,.3,4198.264945859762,4295.943833787319
1987,Italia,.31,4400.795199710818,4513.637448262855
1987,Italia,.32,4626.070089451379,4728.407617896611
1987,Italia,.33,4824.579690943637,4911.427470451451
1987,Italia,.34,4995.004502909374,5074.418110785247
1987,Italia,.35,5152.78774660492,5230.638252795461
1987,Italia,.36,5308.826066515579,5388.259101859287
1987,Italia,.37,5468.370922172734,5549.195726683933
1987,Italia,.38,5629.777825270351,5707.959234083033
1987,Italia,.39,5784.316990607897,5858.275721883526
1987,Italia,.4,5931.760602579331,6005.52263713566
1987,Italia,.41,6079.942242272485,6156.400821604563
1987,Italia,.42,6234.124030466572,6314.476969864123
1987,Italia,.43,6396.051019063692,6479.401840543771
1987,Italia,.44,6563.132675821054,6646.026477289038
1987,Italia,.45,6727.490854010185,6804.51794130889
1987,Italia,.46,6879.402740800262,6950.942908479733
1987,Italia,.47,7021.248672742281,7089.849862687613
1987,Italia,.48,7157.938155677165,7225.532940115617
1987,Italia,.49,7293.091698562655,7360.811773655945
1987,Italia,.5,7428.658639947087,7496.613623398675
1987,Italia,.51,7564.461311561923,7631.474705878762
1987,Italia,.52,7697.650904711799,7760.986365788734
1987,Italia,.53,7822.388968762217,7880.3015578863
1987,Italia,.54,7936.827626600989,7991.293073964324
1987,Italia,.55,8045.067731861771,8098.079109172404
1987,Italia,.5600000000000001,8150.993843280222,8204.199566833178
1987,Italia,.5700000000000001,8257.75949557284,8312.328467322175
1987,Italia,.58,8367.507304145611,8423.96109573745
1987,Italia,.59,8481.02063649099,8539.024645575104
1987,Italia,.6,8597.290165573586,8655.393862733152
1987,Italia,.61,8712.974795035305,8768.317660339419
1987,Italia,.62,8821.998821133293,8873.067972728677
1987,Italia,.63,8923.485780527706,8973.913229231479
1987,Italia,.64,9024.968943724369,9078.403240046066
1987,Italia,.65,9133.536203351276,9192.894941468852
1987,Italia,.66,9254.704056794619,9321.8119472773
1987,Italia,.67,9391.65836649827,9466.768936707074
1987,Italia,.68,9544.251668114075,9625.417747480218
1987,Italia,.6900000000000001,9707.684413896533,9789.932491369627
1987,Italia,.7000000000000001,9870.775907164278,9945.444047469389
1987,Italia,.71,10016.04866761609,10079.47126580667
1987,Italia,.72,10139.88634306601,10195.50941340452
1987,Italia,.73,10249.36144527741,10300.95166861981
1987,Italia,.74,10352.05714534702,10403.4874569247
1987,Italia,.75,10455.72149026008,10510.80253849295
1987,Italia,.76,10567.90223710707,10630.11574093765
1987,Italia,.77,10695.37043498437,10767.4525058746
1987,Italia,.78,10843.22151695224,10926.51853522332
1987,Italia,.79,11013.48800698728,11106.969007236
1987,Italia,.8,11203.01464499401,11301.8490838941
1987,Italia,.8100000000000001,11400.93791320601,11501.6218293729
1987,Italia,.8200000000000001,11604.16818571514,11712.67945970726
1987,Italia,.8300000000000001,11825.2687259966,11948.02431983572
1987,Italia,.84,12076.7611041746,12218.73422537975
1987,Italia,.85,12367.70160687541,12530.25886644939
1987,Italia,.86,12698.86940588889,12875.80405685962
1987,Italia,.87,13053.95282411997,13228.09031486458
1987,Italia,.88,13399.26030646454,13565.7049175589
1987,Italia,.89,13730.81349267036,13897.15863691418
1987,Italia,.9,14066.96507962084,14253.3024326888
1987,Italia,.91,14454.60250122634,14707.69249457563
1987,Italia,.92,15001.75853124526,15421.66245405499
1987,Italia,.93,15915.03159403673,16475.61290222654
1987,Italia,.9400000000000001,17025.50892530363,17531.01109062106
1987,Italia,.9500000000000001,18061.1835212242,19024.40412386735
1987,Italia,.96,20359.06268301852,21704.52845946696
1987,Italia,.97,22897.10878852734,25039.53805869077
1987,Italia,.98,27855.40413638846,32646.00562400679
1987,Italia,.99,37415.45932327079,63795.80499104929
1988,Italia,0,-18640.52774352004,-5390.326240960738
1988,Italia,.01,345.0402196415744,374.4738659742465
1988,Italia,.02,403.9075123068764,433.3411586390186
1988,Italia,.03,462.7748049721786,492.2084513057703
1988,Italia,.04,521.6420976374799,551.0757439701464
1988,Italia,.05,580.5093903027811,609.9430366347209
1988,Italia,.06,639.3766829680834,708.0703332208867
1988,Italia,.07,870.8126143369877,1089.879042706228
1988,Italia,.08,1308.945471075807,1539.396963646409
1988,Italia,.09,1751.00232007749,1790.885279140733
1988,Italia,.1,1862.908416622911,2084.347177927974
1988,Italia,.11,2255.023030892501,2378.928651263761
1988,Italia,.12,2513.123727109357,2630.725274145328
1988,Italia,.13,2724.088116662807,2782.968519312639
1988,Italia,.14,2831.468378773402,2870.306397756511
1988,Italia,.15,2908.897042880586,2953.004475395759
1988,Italia,.16,3001.734097385196,3059.720387201576
1988,Italia,.17,3121.001304959451,3181.860137430336
1988,Italia,.18,3237.440970216941,3273.002245710848
1988,Italia,.19,3298.591491031917,3309.741978672552
1988,Italia,.2,3316.313832707867,3318.632005195287
1988,Italia,.21,3321.134639818918,3328.160500701189
1988,Italia,.22,3339.352413164098,3362.112719284654
1988,Italia,.23,3392.065073319722,3438.522537002729
1988,Italia,.24,3494.038757411508,3567.236165570489
1988,Italia,.25,3647.742918719375,3738.928523271745
1988,Italia,.26,3833.619188903102,3932.107782410241
1988,Italia,.27,4031.059099757926,4128.630146900491
1988,Italia,.28,4224.567228946328,4316.040446391562
1988,Italia,.29,4404.937020835466,4488.823570784718
1988,Italia,.3,4570.579921599305,4649.811670087035
1988,Italia,.31,4728.958806213687,4810.151529534411
1988,Italia,.32,4893.22957944512,4981.246042061248
1988,Italia,.33,5072.122624620828,5168.863430232167
1988,Italia,.34,5268.374925800848,5372.337531837788
1988,Italia,.35,5477.70110668113,5583.30292963509
1988,Italia,.36,5687.410417551208,5784.591209525078
1988,Italia,.37,5876.969242979829,5960.023276607026
1988,Italia,.38,6038.697504004228,6109.28141101788
1988,Italia,.39,6176.188223855295,6236.583932302008
1988,Italia,.4,6294.183676984684,6347.232708248329
1988,Italia,.41,6398.570491441636,6447.753773819317
1988,Italia,.42,6496.543699310489,6546.14998670656
1988,Italia,.43,6597.462383141382,6659.147518723515
1988,Italia,.44,6729.683192752823,6823.278124545
1988,Italia,.45,6930.272545183185,7065.083325637782
1988,Italia,.46,7213.298132715477,7383.929529000892
1988,Italia,.47,7562.323936446216,7745.212052519742
1988,Italia,.48,7923.312126112,8072.763197923436
1988,Italia,.49,8196.526519484898,8205.28916405585
1988,Italia,.5,8210.979614413051,8216.641264406318
1988,Italia,.51,8222.302914399448,8227.964564392332
1988,Italia,.52,8233.626214385853,8239.287864378446
1988,Italia,.53,8244.949514372252,8250.611164365748
1988,Italia,.54,8256.272814358654,8261.93446435206
1988,Italia,.55,8267.59611434505,8282.213369828951
1988,Italia,.5600000000000001,8372.067479167024,8616.142293208084
1988,Italia,.5700000000000001,8821.599635538227,8909.590685924501
1988,Italia,.58,8983.326198699791,9036.131664019369
1988,Italia,.59,9082.104147821734,9121.077366856252
1988,Italia,.6,9159.640728255061,9202.680987811564
1988,Italia,.61,9250.257294183604,9310.253182941809
1988,Italia,.62,9377.643987991467,9460.477137046139
1988,Italia,.63,9550.69183997889,9652.671868181933
1988,Italia,.64,9758.144583085148,9862.749957512706
1988,Italia,.65,9961.915333961169,10044.67652135696
1988,Italia,.66,10119.57977943175,10181.19412000094
1988,Italia,.67,10237.38906371622,10285.2091415931
1988,Italia,.68,10330.07042368738,10371.43293140795
1988,Italia,.6900000000000001,10412.23170517536,10454.16317774962
1988,Italia,.7000000000000001,10497.73861109661,10546.54322874735
1988,Italia,.71,10598.83984372493,10659.51533670788
1988,Italia,.72,10724.92670273279,10800.33639335082
1988,Italia,.73,10880.7761101803,10970.48163327187
1988,Italia,.74,11064.07660687959,11162.70342888306
1988,Italia,.75,11261.96764558909,11357.48853805393
1988,Italia,.76,11449.57533114252,11536.87069787516
1988,Italia,.77,11623.06328986533,11709.65540454053
1988,Italia,.78,11797.72886796264,11891.19021431581
1988,Italia,.79,11988.48108211696,12095.34778862183
1988,Italia,.8,12207.7920678748,12332.26469209769
1988,Italia,.8100000000000001,12462.87105953299,12604.71217293839
1988,Italia,.8200000000000001,12751.09960010253,12902.26047800913
1988,Italia,.8300000000000001,13052.71348626238,13195.03117609306
1988,Italia,.84,13332.28576675628,13460.79241858871
1988,Italia,.85,13585.76160476155,13705.86699215128
1988,Italia,.86,13824.86474996392,13945.10626606705
1988,Italia,.87,14068.03254044287,14201.70537618145
1988,Italia,.88,14343.96088514136,14511.78025208373
1988,Italia,.89,14697.41444021231,14931.9500773471
1988,Italia,.9,15198.93650258286,15545.67204929853
1988,Italia,.91,15928.40591428789,16345.85202907776
1988,Italia,.92,16762.59346794812,17155.69837460973
1988,Italia,.93,17536.62468806103,17961.20426188344
1988,Italia,.9400000000000001,18480.01166827967,19356.56994831384
1988,Italia,.9500000000000001,20426.32610745714,21461.50957878368
1988,Italia,.96,22355.76701499102,23637.54916225854
1988,Italia,.97,25374.95239813521,28190.89773027974
1988,Italia,.98,32091.47467281414,35957.36043239737
1988,Italia,.99,41998.70803982874,69185.20799791301
1989,Italia,0,-20711.18954775882,-4674.131247092992
1989,Italia,.01,347.6940519112586,377.2682540419272
1989,Italia,.02,406.8424561725168,436.4166583043771
1989,Italia,.03,465.9908604337749,495.5650625626993
1989,Italia,.04,525.1392646950341,554.713466825801
1989,Italia,.05,584.2876689562916,613.8618710875996
1989,Italia,.06,643.4360732175493,832.22347021334
1989,Italia,.07,1069.2526951664,1309.936256003487
1989,Italia,.08,1550.619816838266,1717.919872598162
1989,Italia,.09,1848.019300892064,2023.189967896083
1989,Italia,.1,2201.183767826576,2379.689787449458
1989,Italia,.11,2564.746227018308,2726.524228176962
1989,Italia,.12,2873.536652355742,3005.099059774856
1989,Italia,.13,3105.759246195224,3133.456133133749
1989,Italia,.14,3161.153020070682,3188.849907007543
1989,Italia,.15,3216.546793946142,3244.243680884579
1989,Italia,.16,3271.9405678216,3299.75246632466
1989,Italia,.17,3328.341076968611,3358.241037794648
1989,Italia,.18,3388.140998619962,3418.040959444086
1989,Italia,.19,3447.940920271324,3477.840881098312
1989,Italia,.2,3507.740841922675,3544.604766948782
1989,Italia,.21,3597.530652809066,3660.426314211908
1989,Italia,.22,3724.107547462772,3790.077428287204
1989,Italia,.23,3857.503210702735,3928.308147051961
1989,Italia,.24,4000.979370932218,4077.549473512751
1989,Italia,.25,4156.084089811126,4238.355291128423
1989,Italia,.26,4322.31792222226,4409.047071259919
1989,Italia,.27,4496.756516993893,4585.313001183966
1989,Italia,.28,4673.625535049568,4760.2415078023
1989,Italia,.29,4846.039141853306,4931.27634579955
1989,Italia,.3,5016.713884674044,5103.304410953579
1989,Italia,.31,5190.770511099426,5280.330634853525
1989,Italia,.32,5371.015627891767,5463.797884628675
1989,Italia,.33,5557.440129491592,5652.137198149816
1989,Italia,.34,5747.174329996068,5843.51187078052
1989,Italia,.35,5940.790161028647,6040.206014183183
1989,Italia,.36,6140.695320377248,6242.933791770424
1989,Italia,.37,6345.699212685745,6448.334653732983
1989,Italia,.38,6550.135353302211,6648.145215173595
1989,Italia,.39,6742.987914150392,6828.802305913669
1989,Italia,.4,6909.856896478695,6984.51506293059
1989,Italia,.41,7057.506409760367,7129.727788336829
1989,Italia,.42,7202.654723748015,7278.529238606313
1989,Italia,.43,7356.405635767434,7438.538424183277
1989,Italia,.44,7522.628185083339,7609.299343447827
1989,Italia,.45,7696.230137007748,7781.531331312864
1989,Italia,.46,7865.897236998497,7949.29014152804
1989,Italia,.47,8032.57987144579,8116.205975240731
