time,regione,fractile,threshold,top_share,bracket_average
1999,Italia,.73,15310.04644405986,.5710503070803542,15545.81005814469
1999,Italia,.74,15799.28119241114,.55920874790927,16073.61946626835
1999,Italia,.75,16351.31518484983,.5469651455951154,16622.61340756894
1999,Italia,.76,16884.6812706184,.5343033634488285,17118.4696584142
1999,Italia,.77,17334.22140353557,.5212638775281627,17510.13554499698
1999,Italia,.78,17665.98402534414,.5079260517491095,17788.0988673852
1999,Italia,.79,17899.36851596181,.4943764956634888,18011.2435255849
1999,Italia,.8,18136.34404840768,.4806569657608782,18298.00329844878
1999,Italia,.8100000000000001,18479.96449740065,.4667190051167653,18704.83225024404
1999,Italia,.8200000000000001,18951.78497492848,.4524711545996142,19242.02184119121
1999,Italia,.8300000000000001,19552.4981297471,.4378141158636764,19896.80156044381
1999,Italia,.84,20253.01287446251,.4226583181206135,20616.4065729644
1999,Italia,.85,20972.21351451787,.4069543826282984,21285.44667512045
1999,Italia,.86,21571.50405269629,.3907408257056508,21814.18262393722
1999,Italia,.87,22041.61979327426,.3741245198750739,22253.55053536896
1999,Italia,.88,22465.9014955622,.3571735385852168,22697.32675433172
1999,Italia,.89,22947.90909396408,.3398845239387245,23256.69449557514
1999,Italia,.9,23604.25786210931,.3221694275260485,24045.15909846366
1999,Italia,.91,24537.97990057195,.3038537416159781,25129.46595782133
1999,Italia,.92,25759.70795093839,.2847121171548337,26494.03206960138
1999,Italia,.93,27322.95508268318,.264531074979523,28424.43586913174
1999,Italia,.9400000000000001,29684.72601022716,.2428796050342391,31157.39571857608
1999,Italia,.9500000000000001,32600.28662201247,.2191463840802687,33917.34714735365
1999,Italia,.96,35281.53826125179,.1933108520835835,37250.1097811995
1999,Italia,.97,39917.51140273096,.1649366871186412,44581.05183757324
1999,Italia,.98,49635.24619685343,.1309783947382955,56721.80111059027
1999,Italia,.99,66051.45812769969,.0877722471249311,115228.9713260609
2000,Italia,0,-14025.23230636187,1,1339.590336958355
2000,Italia,.01,5874.72359363584,.9990203329645745,5874.826307819038
2000,Italia,.02,5874.929022000772,.9947239645048789,5875.031736182389
2000,Italia,.03,5875.134450365712,.9904274458116453,5875.237164548318
2000,Italia,.04,5875.339878730646,.9861307768848719,5875.442592913794
2000,Italia,.05,5875.545307095571,.9818339577245591,5875.648021278667
2000,Italia,.06,5875.750735460502,.9775369883307071,5875.853449641705
2000,Italia,.07,5875.956163825444,.9732398687033175,5876.058878008404
2000,Italia,.08,5876.161592190378,.9689425988423874,5876.26430637388
2000,Italia,.09,5876.36702055531,.9646451787479179,5876.469734736615
2000,Italia,.1,5876.572448920247,.9603476084199108,5876.67516310377
2000,Italia,.11,5876.777877285176,.9560498878583631,5876.880591467575
2000,Italia,.12,5876.983305650107,.9517520170632771,5877.086019832739
2000,Italia,.13,5877.188734015043,.9474539960346517,5877.291448198063
2000,Italia,.14,5877.394162379976,.9431558247724871,5877.496876561733
2000,Italia,.15,5877.59959074491,.9388575032767842,5877.702304926282
2000,Italia,.16,5877.805019109852,.9345590315475425,5877.907733291758
2000,Italia,.17,5878.010447474782,.9302604095847613,5878.113161659376
2000,Italia,.18,5878.215875839704,.9259616373884391,5878.318590022406
2000,Italia,.19,5878.421304204637,.9216627149585791,5878.524018386212
2000,Italia,.2,5878.626732569572,.9173636422951809,5878.729446752008
2000,Italia,.21,5878.832160934509,.9130644193982429,5878.934875116404
2000,Italia,.22,5879.037589299445,.9087650462677662,5879.140303482792
2000,Italia,.23,5879.24301766438,.9044655229037494,5879.345731846311
2000,Italia,.24,5879.448446029317,.9001658493061945,5879.551160211618
2000,Italia,.25,5879.653874394254,.8958660254751002,5879.756588576486
2000,Italia,.26,5879.85930275919,.8915660514104669,5879.962016942418
2000,Italia,.27,5880.064731124116,.8872659271122937,5880.167445306832
2000,Italia,.28,5880.270159489043,.8829656525805818,5880.372873671276
2000,Italia,.29,5880.475587853979,.8786652278153312,5880.578302035202
2000,Italia,.3,5880.681016218927,.8743646528165422,5880.783730403107
2000,Italia,.31,5880.886444583842,.8700639275842119,5880.989158766002
2000,Italia,.32,5881.091872948777,.865763052118344,5881.194587131629
2000,Italia,.33,5881.297301313714,.8614620264189365,5881.400015495739
2000,Italia,.34,5881.502729678654,.8571608504859906,5881.605443861518
2000,Italia,.35,5881.70815804358,.8528595243195048,5881.810872226116
2000,Italia,.36,5881.913586408515,.8485580479194803,5882.016300590953
2000,Italia,.37,5882.119014773447,.8442564212859167,5882.221728953999
2000,Italia,.38,5882.324443138388,.8399546444188154,5882.427157322208
2000,Italia,.39,5882.529871503317,.8356527173181726,5882.632585686013
2000,Italia,.4,5882.735299868249,.8313506399839915,5977.234976168442
2000,Italia,.41,6067.987983169448,.8269793781828348,6086.891593047256
2000,Italia,.42,6101.259785706515,.8225279224822385,6154.875772732634
2000,Italia,.43,6243.523260198765,.8180267487014719,6403.474605959998
2000,Italia,.44,6588.643311065992,.8133437700246569,6783.530929090777
2000,Italia,.45,6974.629487945292,.8083828491732054,7160.729145529309
2000,Italia,.46,7344.564311985869,.8031460763330741,7520.66430204131
2000,Italia,.47,7689.920239315602,.7976460762972868,7836.804358274925
2000,Italia,.48,7972.203151682015,.791914877227642,8102.366099370283
2000,Italia,.49,8237.986482894592,.7859894679756424,8394.121876463778
2000,Italia,.5,8562.776243403276,.7798506923613097,8752.547519739648
2000,Italia,.51,8948.698316729904,.7734497934860957,9150.395255860543
2000,Italia,.52,9351.860294922872,.7667579412489148,9547.612282266145
2000,Italia,.53,9738.152181666326,.7597755968993746,9915.09217991436
2000,Italia,.54,10085.44656831139,.7525245077463111,10247.70040235562
2000,Italia,.55,10408.25564291827,.7450301760867534,10568.92246327754
2000,Italia,.5600000000000001,10730.92979888249,.7373009288299011,10896.55234042516
2000,Italia,.5700000000000001,11063.82189950675,.729332079821971,11231.90309100405
2000,Italia,.58,11398.35582377225,.7211179826463114,11559.55292174645
2000,Italia,.59,11719.14669012906,.7126642691271434,11878.6862873232
2000,Italia,.6,12039.68815152758,.7039771675119775,12206.26549407836
2000,Italia,.61,12376.82188085516,.6950505012019231,12557.23013721327
2000,Italia,.62,12743.31623501525,.6858671679975257,12941.53097540755
2000,Italia,.63,13145.63280936423,.6764027885266105,13355.13038387262
2000,Italia,.64,13562.98575094074,.6666359362062235,13759.25622486099
2000,Italia,.65,13945.92478206565,.656573539230387,14107.0533083541
2000,Italia,.66,14252.76826516159,.6462567918547939,14364.28027755922
2000,Italia,.67,14457.76621528633,.6357519296687246,14516.0840600921
2000,Italia,.68,14558.33804242281,.6251360505862973,14575.33276440835
2000,Italia,.6900000000000001,14584.63351894622,.6144768418373974,14593.72849162236
2000,Italia,.7000000000000001,14612.38875542755,.6038041799550677,14676.84098916257
2000,Italia,.71,14780.37191507125,.5930707363756584,14983.40656132561
2000,Italia,.72,15231.04915056021,.5821130957585737,15542.99439024178
2000,Italia,.73,15874.763993901,.5707462182768374,16222.47585905777
2000,Italia,.74,16566.84766937713,.5588824235079153,16884.39635841364
2000,Italia,.75,17179.62144953741,.5465345541115487,17417.07760939591
2000,Italia,.76,17621.13064397118,.5337971251255232,17757.22009654372
2000,Italia,.77,17862.06295032673,.520810943686742,17922.40857780977
2000,Italia,.78,17974.70504309353,.5077039568754049,18053.86073639787
2000,Italia,.79,18162.54318281136,.4945008366843687,18330.88410997433
2000,Italia,.8,18527.82906057193,.4810951242084765,18777.99773240051
2000,Italia,.8100000000000001,19052.1980228874,.467362429322443,19367.12540077007
2000,Italia,.8200000000000001,19697.86254085252,.4531988945442159,20047.85765330183
2000,Italia,.8300000000000001,20399.98137140412,.4385375277576821,20736.51339120479
2000,Italia,.84,21053.352749258,.4233725343723541,21309.86829456588
2000,Italia,.85,21536.80529829356,.4077882360077902,21723.17394612294
2000,Italia,.86,21899.19674383567,.3919016796235809,22075.95353316091
2000,Italia,.87,22264.12657307854,.3757571290431928,22497.25692002457
2000,Italia,.88,22763.43931691275,.359304471552329,23112.86429311857
2000,Italia,.89,23509.90458558224,.342401609074503,24000.344668857
2000,Italia,.9,24529.04830762973,.3248497158857866,25080.69534358153
2000,Italia,.91,25598.01135544883,.3065077423915266,25968.86181281081
2000,Italia,.92,26343.63517872308,.2875162364335958,27072.76362276903
2000,Italia,.93,28133.51336369423,.267717426792049,29951.97989163106
